"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","VE","0.00000","0.000593999817",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","UY","0.00000","0.003697998865",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3700","100","Song","US","0.00000","10.366051820478",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","UG","0.00000","0.000433999866",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","UA","0.00000","0.002799999141",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","SV","0.00000","0.002464999243",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","PY","0.00000","0.000036999988",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","PA","0.00000","0.001686999482",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","NI","0.00000","0.000055999982",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","10","100","Song","NG","0.00000","0.004002998772",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","NA","0.00000","0.001781999453",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","MW","0.00000","0.001943999403",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","MD","0.00000","0.003810998831",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","MA","0.00000","0.010838996675",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","KZ","0.00000","0.003976998780",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","KW","0.00000","0.000029999990",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","KR","0.00000","0.009511997082",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","4","100","Song","KE","0.00000","0.000393999879",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","JO","0.00000","0.000004999998",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","53","100","Song","IN","0.00000","0.019386994053",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","HN","0.00000","0.006075998136",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","8","100","Song","GT","0.00000","0.009970996941",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","5","100","Song","GH","0.00000","0.001308999598",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","EG","0.00000","0.000835999743",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","10","100","Song","EC","0.00000","0.007571997677",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","4","100","Song","DO","0.00000","0.010475996786",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","CR","0.00000","0.000110999965",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","CI","0.00000","0.000353999891",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","AZ","0.00000","0.000021999993",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","UY","0.00000","0.003645998881",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","255","100","Song","US","0.00000","0.926618715783",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","3","100","Song","UA","0.00000","0.005840998208",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","2","100","Song","KG","0.00000","0.003797998835",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","KE","0.00000","0.000474999854",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","16","100","Song","IN","0.00000","0.006319998061",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","2","100","Song","EG","0.00000","0.000238999926",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","2","100","Song","EC","0.00000","0.004995998467",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Shoes That Float","QZES92546563","199081913924","34","100","Song","US","0.00000","0.113809965091",
