id,song,campaign_date,budget_gbp,budget_usd,playlist_adds,other_adds,created_at
b44b99aa-2752-4844-9a7b-0bc94ca074be,Astronaut,2024-09-21,36.0,46.8,57,13,2026-06-30T19:51:19.961638+00:00
c0fd8f79-4062-44d6-9fff-440ddaed0a1c,Great Riddance,2024-07-28,36.0,46.8,55,15,2026-06-30T19:51:19.961638+00:00
df05d8a9-0e68-456c-bf92-9ee4c65f7223,SH2BA,2026-03-06,36.0,46.8,79,8,2026-06-30T19:51:19.961638+00:00
