Outlet,Profile,Country,Date,Status,Where,URL,Views
B-Side Guys,https://www.submithub.com//blog/b-side-guys,United States,2025-06-18T19:56:18.286Z,shared,as a blog review,https://bsideguys.com/2025/06/18/socially-acceptable-exit-review-midwestern-therapy-at-highway-speed/,Blog engagement:2/10
Roadie Music,https://www.submithub.com//blog/roadie-music,Brazil,2025-05-21T09:28:42.387Z,shared,as a blog review and in a Spotify playlist,"https://open.spotify.com/playlist/7aLM6IhCrrQe3eYBzwkvwD,https://roadie-music.com/socially-acceptable-mostra-seu-som-tecnico-em-exit/","Blog engagement:3/10
spotify:5 - 10 (estimate)
(over 1 month)"
2x4 Music,https://www.submithub.com//playlister/2x4-music,United States,2025-05-19T15:56:21.599Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/1mRRpQ0IltDJ0FuA2KdCN6,"listeners:70 - 110 (estimate)
(over 1 month)"
Playlist Picasso,https://www.submithub.com//playlister/playlist-picasso,Australia,2025-05-19T09:36:08.292Z,shared,"in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/4ilBWEaI2qmZe5ob1JqAt8,https://www.youtube.com/playlist?list=PLVjND3IdnuzyChmxly_H8GnlCCczd95CD","listeners:300 - 500 (estimate)
(over 7 months)"
Music Gems,https://www.submithub.com//playlister/music-gems,United Kingdom,2025-05-19T03:14:58.675Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/143aStdfW7ihmTzyfGGnLm,"listeners:30 - 50 (estimate)
(over 1 month)"
RHYTHM REVOLUTION,https://www.submithub.com//playlister/rhythm-revolution,Australia,2025-05-19T03:04:32.229Z,shared,"in a Spotify playlist, on Deezer, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/2NCUfWgfP0k8tzTqESdf3r,https://www.youtube.com/playlist?list=PLy1mN8MSf2iLJWvD6wVu3Z27B5phOUX64,https://www.deezer.com/en/playlist/13250094963","listeners:150 - 200 (estimate)
(over 1 month)"
El Rocanrosaurio,https://www.submithub.com//radio/el-rocanrosaurio,Mexico,2025-05-19T01:20:07.740Z,shared,"as part of a radio show, random rotation on radio, as part of an Instagram Post and on one (or more) of our social networks",,
