Campaign url,Campaign date,Outlet,Outlet type,Outlet url,Outlet country,Action,Action timestamp,Feedback,Additional notes,Listen time (seconds)
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,Lemon Fresh Music,Spotify Playlister,https://open.spotify.com/user/31blcvffljmj5cutyijfuevpyqsi?si=dcd49af4c1034373,United States,listen,2023-06-01T19:37:28.112Z,,,
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,Lemon Fresh Music,Spotify Playlister,https://open.spotify.com/user/31blcvffljmj5cutyijfuevpyqsi?si=dcd49af4c1034373,United States,declined,2023-06-01T19:39:20.363Z,"love that you retained the rawness of the instrumental lines, your vocals have such a distinct and endearing quality to it. this is100% just me but i can't help but to wish the song has this upward momentum at the halfway point so as to provide the track with a tad bit more movement",,113
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,EarToTheGround Music,Blog,http://www.eartothegroundmusic.co,United States,listen,2023-06-02T00:20:00.497Z,,,
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,EarToTheGround Music,Blog,http://www.eartothegroundmusic.co,United States,declined,2023-06-02T00:20:31.494Z,"Has some good indie folk elements we appreciate, just overall recording style is not working for what we prefer ",,32
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,The Luna Collective,Blog,https://www.thelunacollective.co/,United States,listen,2023-06-02T00:30:29.282Z,,,
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,The Luna Collective,Blog,https://www.thelunacollective.co/,United States,declined,2023-06-02T00:31:36.603Z,"hi, thanks for sending this over! really enjoyed the songwriting, but would've loved to hear more complexity in the instrumentals. best of luck :)",,68
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,Devon Overbey Music,Spotify Playlister,https://open.spotify.com/user/devonoverbey?si=G_LoncJ2T-SHBPgUFC2LJQ,United States,listen,2023-06-03T02:12:34.222Z,,,
https://www.submithub.com/campaign/wqrZ5mq2qcFoxoKgu,2023-06-01T04:55:08.241Z,Devon Overbey Music,Spotify Playlister,https://open.spotify.com/user/devonoverbey?si=G_LoncJ2T-SHBPgUFC2LJQ,United States,declined,2023-06-03T02:13:27.122Z,"Hey there, great job on this song! I'll be honest I wan't 100% into the vocal melody on this track. That's entirely subjective though, I think it sounded really amazing overall. Keep it up! ",,50
