Outlet,Profile,Country,Date,Status,Where,URL,Views
Brilliant Music,https://www.submithub.com//playlister/brilliant-music-1,Philippines,2024-08-03T15:46:21.253Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/5fThEsl1Fc22fRlv5OyuhF,"listeners:50 - 80 (estimate)
(over 1 month)"
Playlist Picasso,https://www.submithub.com//playlister/playlist-picasso,Australia,2024-08-02T10:40:20.030Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/4ilBWEaI2qmZe5ob1JqAt8,"listeners:300 - 500 (estimate)
(over 7 months)"
delli_travels,https://www.submithub.com//playlister/delli-travels,Belgium,2024-08-01T15:13:08.597Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/0aM61kN6fGAELVuLreCrmo,"listeners:70 - 110 (estimate)
(over 4 weeks)"
Kindline Magazine,https://www.submithub.com//blog/kindline-magazine,United States,2024-07-27T14:37:29.667Z,shared,as a blog review,https://kindlinemagazine.com/socially-acceptables-great-riddance-shares-a-melodic-storm/,Blog engagement:2/10
Supreme Playlists,https://www.submithub.com//playlister/supreme-playlists,Colombia,2024-07-27T05:35:33.220Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/3efyOiZ9sfYvETaSy2O5lX,"listeners:500 - 900 (estimate)
(over 8 months)"
