Outlet,Profile,Country,Date,Status,Where,URL,Views
Rock Fueguino,https://www.submithub.com//blog/rock-fueguino,Argentina,2026-05-17T19:10:35.204Z,shared,"as a blog review, in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/0ExPGal2gx3lvgXjkbgP6O,https://www.youtube.com/playlist?list=PLdd_9Eg51mAwaEdSRL6tFQyQythoF1oXq,https://soundcloud.com/rockfueguino/sets/chillout-in-the-office?utm_medium=api&utm_campaign=social_sharing&utm_source=id_193463,https://rock-fueguino.com.ar/chilloutintheoffice/index.php?ver=3409","Blog engagement:4/10
spotify:10 - 15 (estimate)
(over 1 year)"
lacaverna.net,https://www.submithub.com//blog/lacaverna-net,Mexico,2026-05-11T05:20:26.483Z,shared,"as a blog review, in a Spotify playlist, on Apple Music, on Deezer, in a YouTube playlist, in a SoundCloud playlist and on one (or more) of our social networks","https://open.spotify.com/playlist/6xpSbrkxyvbZKGcXaQk4ns,https://music.apple.com/us/playlist/pl.u-76oNkmetxWEJ89,https://www.youtube.com/playlist?list=PLJY9_kGKvu2pC5xAhc01OX_Wu4RJOOrZF,https://www.deezer.com/en/playlist/12969288143,https://soundcloud.com/lacavernamx/sets/descubrimientos-con-esencia?utm_medium=api&utm_campaign=social_sharing&utm_source=id_193463,https://wp.me/p4pCgM-d2V,https://www.facebook.com/69518615569/posts/1601889161936542, https://lacavernamx.tumblr.com/post/816294743190470656, https://www.instagram.com/p/DYL9x7MDvnX/, https://bsky.app/profile/did:plc:wtpy3mgvfhjmijgiclzxwyds/post/3mlkkpzkf5u23, https://www.threads.com/@lacavernamx/post/DYL9wGXkUKp, https://lacaverna.net/nuevas-canciones-exploran-ansiedad-culpa-y-deseo-de-escapar/","Blog engagement:6/10
spotify:20 - 30 (estimate)
(over 1 month)"
Alex Memu,https://www.submithub.com//playlister/alex-memu,Spain,2026-05-10T21:33:30.031Z,shared,"in a Spotify playlist, on Apple Music, on Deezer and in a YouTube playlist","https://open.spotify.com/playlist/7MBmXPD84t07AH3ctDaSQl,https://music.apple.com/us/playlist/pl.u-11zBJ7afNdry5Vr,https://www.youtube.com/playlist?list=PLgxFfOOmchBo-fQTylK3tVg_0-gKXGdjc,https://www.deezer.com/en/playlist/14914058083","listeners:50 - 90 (estimate)
(over 2 months)"
Nico Santino,https://www.submithub.com//playlister/nico-santino-1,Sweden,2026-05-09T15:39:21.670Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/0Dsh7UhLfEW1gq5DpaGWhk,"listeners:100 - 200 (estimate)
(over 2 months)"
Playlist Picasso,https://www.submithub.com//playlister/playlist-picasso,Australia,2026-05-03T14:14:27.442Z,shared,"in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/16wuK45HFWqS6SUVmfdEm1,https://www.youtube.com/playlist?list=PLVjND3IdnuzzLCNsY8tsXRTATn1jUZBZu","listeners:250 - 400 (estimate)
(over 7 months)"
delli_travels,https://www.submithub.com//playlister/delli-travels,Belgium,2026-05-03T12:43:46.963Z,shared,"in a Spotify playlist, on Deezer, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/69zaTZrhWgdXMmgkoEyyaW,https://www.youtube.com/playlist?list=PLsYJIZwl2k-dPyn6P6hVMT_89b9sWR5Cn,https://www.deezer.com/en/playlist/13114596503","listeners:150 - 200 (estimate)
(over 4 weeks)"
fatmaoz,https://www.submithub.com//playlister/fatmaoz,Turkey,2026-05-02T13:40:59.427Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/2je6dYaxDWb6IRiU6ZTMaG,"listeners:200 - 350 (estimate)
(over 1 week)"
Steven Luke,https://www.submithub.com//playlister/steven-luke,United Kingdom,2026-05-01T17:37:46.545Z,shared,"in a Spotify playlist, on Apple Music, on Deezer, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/4q6VFs6REzCak4PmZS5q7x,https://music.apple.com/us/playlist/pl.u-55D6ZNlHg64AZp,https://www.youtube.com/playlist?list=PLmAOSTo92wujf9ALwOzcCUGQkDdVBKhrC,https://www.deezer.com/en/playlist/14467291803","listeners:30 - 40 (estimate)
(over 1 month)"
