Outlet,Profile,Country,Date,Status,Where,URL,Views
B-Side Guys,https://www.submithub.com//blog/b-side-guys,United States,2024-12-20T15:57:11.239Z,shared,as a blog review,https://bsideguys.com/2024/12/20/fraternity-basements-to-orbital-paths-socially-acceptables-astronaut-charts-new-territory/,Blog engagement:2/10
Kindline Magazine,https://www.submithub.com//blog/kindline-magazine,United States,2024-09-25T12:20:22.952Z,shared,as a blog review,https://kindlinemagazine.com/socially-acceptable-soars-with-astronaut-a-cosmic-rock-journey/,Blog engagement:2/10
Roadie Music,https://www.submithub.com//blog/roadie-music,Brazil,2024-09-24T14:00:17.419Z,shared,as a blog review,https://roadie-music.com/ouca-agora-mesmo-o-lancamento-do-single-astronaut-com-banda-socially-acceptable/,Blog engagement:3/10
RHYTHM REVOLUTION,https://www.submithub.com//playlister/rhythm-revolution,Australia,2024-09-23T10:17:51.301Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/7nVK6tTGnA84DPBhco5YJO,"listeners:100 - 150 (estimate)
(over 1 month)"
El Rocanrosaurio,https://www.submithub.com//radio/el-rocanrosaurio,Mexico,2024-09-23T05:56:08.242Z,shared,"as part of a radio show, random rotation on radio, as part of an Instagram Post and on one (or more) of our social networks",,
delli_travels,https://www.submithub.com//playlister/delli-travels,Belgium,2024-09-22T08:52:19.251Z,shared,in a Spotify playlist and in a YouTube playlist,"https://open.spotify.com/playlist/0aM61kN6fGAELVuLreCrmo,https://www.youtube.com/playlist?list=PLsYJIZwl2k-eT1TymIabapmhTwn8n7btJ","listeners:70 - 110 (estimate)
(over 4 weeks)"
Playlist Picasso,https://www.submithub.com//playlister/playlist-picasso,Australia,2024-09-21T11:35:35.598Z,shared,"in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/4ilBWEaI2qmZe5ob1JqAt8,https://www.youtube.com/playlist?list=PLVjND3IdnuzyChmxly_H8GnlCCczd95CD","listeners:300 - 500 (estimate)
(over 7 months)"
