Outlet,Profile,Country,Date,Status,Where,URL,Views
The Sound Lab,https://www.submithub.com//radio/the-sound-lab,United Kingdom,2024-07-24T10:50:32.782Z,shared,random rotation on radio,,
mbti music,https://www.submithub.com//playlister/mbti-music-1,Netherlands,2024-07-23T09:55:09.199Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/4ScfRJB3qcMUKdJ5mOZUB0,"listeners:< 5 (estimate)
(over 3 weeks)"
Supreme Playlists,https://www.submithub.com//playlister/supreme-playlists,Colombia,2024-07-22T06:12:29.915Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/7yo53WDijeV3DkDFvcPLHH,"listeners:200 - 350 (estimate)
(over 5 months)"
