Outlet,Profile,Country,Date,Status,Where,URL,Views
Tony's Playlists,https://www.submithub.com//playlister/tonys-playlists,United States,2025-03-18T20:24:26.193Z,shared,"in a Spotify playlist, on Deezer, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/01yNNw2XCo1oVwOQEdgwmX,https://www.youtube.com/playlist?list=PLgCkzdAkJ82khWTrIy-41iCNOtHks1HdO,https://www.deezer.com/en/playlist/13213073443","listeners:100 - 150 (estimate)
(over 3 weeks)"
Supreme Playlists,https://www.submithub.com//playlister/supreme-playlists,Colombia,2025-03-17T17:03:14.160Z,shared,"in a Spotify playlist, on Deezer and in a YouTube playlist","https://open.spotify.com/playlist/3efyOiZ9sfYvETaSy2O5lX,https://www.youtube.com/playlist?list=PLBN-yQtC6BrpYIXwkDwGVyZ1h5vfNzy_4,https://www.deezer.com/en/playlist/13034267563","listeners:500 - 900 (estimate)
(over 8 months)"
