id,purchase_date,amount_paid_usd,credits_purchased,cost_per_credit,created_at
700f0b77-5db4-4aa4-a14a-e366d3a4eef1,2026-05-07T19:41:00+00:00,80.0,100,0.8,2026-06-29T20:35:32.690428+00:00
5beaa92d-97b6-4b8f-b1b1-08140b512dfc,2026-03-10T22:53:00+00:00,45.0,50,0.9,2026-06-29T20:35:32.690428+00:00
26ca11b4-f7bc-40c6-9a7f-0c20e4218d97,2026-03-06T11:10:00+00:00,80.0,100,0.8,2026-06-29T20:35:32.690428+00:00
f4899ef3-0540-4a51-aec7-27352d8f1227,2025-05-18T17:31:00+00:00,80.0,100,0.8,2026-06-29T20:35:32.690428+00:00
b3c5a133-feef-48c7-a96f-42bcfe7a15ec,2025-03-17T00:09:00+00:00,45.0,50,0.9,2026-06-29T20:35:32.690428+00:00
97a3e8b1-4a48-4005-8fc4-f49408e92e16,2024-09-23T00:31:00+00:00,45.0,50,0.9,2026-06-29T20:35:32.690428+00:00
12c88bc4-8b43-4cd3-ba65-6cfa9c5c874e,2024-07-31T23:20:00+00:00,45.0,50,0.9,2026-06-29T20:35:32.690428+00:00
4de63806-4b28-46ac-bd88-be67760111ed,2023-05-31T23:21:00+00:00,27.0,30,0.9,2026-06-29T20:35:32.690428+00:00
