id,song,playlist_name,platform,curator,followers,published_date,created_at
9e9a644a-00ce-44bf-ab0a-cff98ddd8748,Astronaut,cooking and dancing in the kitchen,Spotify,Cookfy,144687,2026-06-04,2026-06-30T21:11:59.803595+00:00
f141a76a-bd5d-456e-a6a7-5a70aa5b576e,Astronaut,Indie Vibes 2026 ✨,Spotify,oceanify,287951,2026-06-04,2026-06-30T21:11:59.803595+00:00
645bbd59-19ed-4eac-b969-ff6886f925c0,Astronaut,Indie Rock Hits 🎸,Spotify,oceanify,398509,2026-06-04,2026-06-30T21:11:59.803595+00:00
